iter	Passed	Remaining
0	140	140782
1	141	70588
2	142	47221
3	142	35553
4	143	28551
5	144	23869
6	144	20513
7	145	18013
8	145	16066
9	146	14508
10	147	13239
11	147	12176
12	148	11292
13	149	10526
14	150	9856
15	150	9260
16	151	8739
17	151	8282
18	152	7870
19	153	7502
20	153	7170
21	154	6864
22	155	6585
23	155	6329
24	156	6093
25	156	5876
26	157	5677
27	158	5492
28	158	5312
29	159	5145
30	159	4992
31	160	4847
32	160	4709
33	161	4582
34	161	4462
35	162	4347
36	162	4237
37	163	4134
38	163	4036
39	164	3942
40	164	3854
41	165	3770
42	165	3690
43	166	3613
44	166	3541
45	167	3471
46	167	3403
47	168	3338
48	168	3275
49	169	3215
50	169	3158
51	170	3102
52	170	3049
53	171	2997
54	171	2948
55	172	2901
56	172	2857
57	173	2812
58	173	2770
59	174	2729
60	174	2688
61	175	2649
62	175	2611
63	176	2575
64	176	2540
65	177	2505
66	177	2472
67	177	2437
68	178	2406
69	178	2376
70	179	2347
71	179	2319
72	180	2291
73	181	2265
74	181	2241
75	182	2216
76	182	2193
77	183	2169
78	184	2146
79	184	2125
80	185	2102
81	186	2083
82	186	2062
83	187	2040
84	187	2018
85	187	1997
86	188	1976
87	188	1956
88	189	1937
89	189	1918
90	190	1900
91	190	1882
92	191	1865
93	191	1848
94	192	1831
95	192	1814
96	193	1797
97	193	1781
98	193	1765
99	194	1750
100	194	1735
101	195	1718
102	195	1703
103	196	1689
104	196	1675
105	197	1661
106	197	1648
107	198	1635
108	198	1623
109	199	1610
110	199	1598
111	200	1587
112	200	1576
113	201	1564
114	201	1553
115	202	1540
116	202	1529
117	203	1518
118	203	1506
119	203	1495
120	204	1485
121	204	1475
122	205	1463
123	205	1452
124	206	1443
125	206	1434
126	207	1424
127	207	1413
128	208	1404
129	208	1395
130	208	1386
131	209	1377
132	209	1368
133	210	1359
134	210	1350
135	211	1342
136	211	1334
137	212	1325
138	212	1317
139	213	1308
140	213	1301
141	214	1293
142	214	1286
143	215	1279
144	215	1272
145	216	1265
146	216	1258
147	217	1251
148	217	1244
