iter	Passed	Remaining
0	0	780
1	1	777
2	2	811
3	3	783
4	3	740
5	4	710
6	4	686
7	5	672
8	5	649
9	6	635
10	6	625
11	7	614
12	7	605
13	8	596
14	8	590
15	9	586
16	10	582
17	10	581
18	11	575
19	11	584
20	12	587
21	13	585
22	13	581
23	14	578
24	14	575
25	15	573
26	15	567
27	16	569
28	17	572
29	17	581
30	18	582
31	19	583
32	19	581
33	20	581
34	21	579
35	21	575
36	22	574
37	22	572
38	23	569
39	23	566
40	24	563
41	24	562
42	25	559
43	25	557
44	26	556
45	26	556
46	27	555
47	27	555
48	28	553
49	29	551
50	29	548
51	30	547
52	30	546
53	31	545
54	31	547
55	32	552
56	33	552
57	33	551
58	34	550
59	35	549
60	35	548
61	36	546
62	36	544
63	37	543
64	37	542
65	38	540
66	38	539
67	39	537
68	39	539
69	40	538
70	41	537
71	41	535
72	42	534
73	42	534
74	43	533
75	43	532
76	44	531
77	44	530
78	45	529
79	45	527
80	46	526
81	47	527
82	47	526
83	48	527
84	48	526
85	49	525
86	49	524
87	50	523
88	51	522
89	51	520
90	52	519
91	52	518
92	53	517
93	53	516
94	54	517
95	54	516
96	55	515
97	55	513
98	56	512
99	56	511
100	57	510
101	58	511
102	58	510
103	59	509
104	59	508
105	60	507
106	60	506
107	61	506
108	62	508
109	63	510
110	63	508
111	64	507
112	64	507
113	65	506
114	65	505
115	66	504
116	66	502
117	67	503
118	67	502
119	68	502
120	69	502
121	69	501
122	70	501
123	70	501
124	71	500
125	72	499
126	72	499
127	73	497
128	73	496
129	74	495
130	74	494
131	75	493
132	75	493
133	76	494
134	77	497
135	78	497
136	78	496
137	79	497
138	80	496
139	80	495
140	81	495
141	81	493
142	82	493
143	83	493
144	83	492
145	84	491
146	84	490
147	85	489
148	85	488
149	85	487
150	86	485
151	86	484
152	87	483
153	87	482
154	88	481
155	88	480
156	89	479
157	89	478
158	90	477
159	90	476
160	91	475
161	92	476
162	92	476
163	93	475
164	93	475
165	94	475
166	95	474
167	95	473
168	96	472
169	96	471
170	97	470
171	97	470
172	98	469
173	98	468
174	99	467
175	99	466
176	100	465
177	100	464
178	101	463
179	101	462
180	102	461
181	102	460
182	102	459
183	103	458
184	103	457
185	104	456
186	104	455
187	105	455
188	106	455
189	106	455
190	107	455
191	108	456
192	108	455
193	109	455
194	110	454
195	110	453
196	111	453
197	111	452
198	112	451
199	112	451
200	113	451
201	114	450
202	114	450
203	115	449
204	115	448
205	116	447
206	116	446
207	117	445
208	117	444
209	118	443
210	118	443
211	118	442
212	119	441
213	119	440
214	120	439
215	120	439
216	121	439
217	123	442
218	124	442
219	124	441
220	125	441
221	125	440
222	126	439
223	126	438
224	127	438
225	127	437
226	128	436
227	128	436
228	129	435
229	129	434
230	130	433
231	130	433
232	131	432
233	131	431
234	132	430
235	132	429
236	133	428
237	133	428
238	134	427
239	134	426
240	135	425
241	135	425
242	136	425
243	137	426
244	138	426
245	138	425
246	139	425
247	140	424
248	140	424
249	141	423
250	141	422
251	142	422
252	143	422
253	143	422
254	144	421
255	144	421
256	145	420
257	146	420
258	146	419
259	147	418
260	147	418
261	148	417
262	148	416
263	149	415
264	149	414
265	150	414
266	151	415
267	152	415
268	152	415
269	153	414
270	154	414
271	154	413
272	155	412
273	155	412
274	156	411
275	156	411
276	157	410
277	158	410
278	158	410
279	159	409
280	159	409
281	160	408
282	160	407
283	161	406
284	161	405
285	162	404
286	162	404
287	163	403
288	163	402
289	164	401
290	164	401
291	165	400
292	165	399
293	166	400
294	167	399
295	168	399
296	168	399
297	169	398
298	169	397
299	170	396
300	170	396
301	171	395
302	171	394
303	171	393
304	172	392
305	172	392
306	173	391
307	173	390
308	174	390
309	174	389
310	175	388
311	175	387
312	176	387
313	176	386
314	177	385
315	177	384
316	178	384
317	179	384
318	179	383
319	180	383
320	181	383
321	182	383
322	182	382
323	183	382
324	183	381
325	184	381
326	184	380
327	185	379
328	185	379
329	186	378
330	186	377
331	187	377
332	187	376
333	188	375
334	188	374
335	189	374
336	189	373
337	190	372
338	190	371
339	191	371
340	191	370
341	192	370
342	192	369
343	193	368
344	193	368
345	194	367
346	194	366
347	195	366
348	196	366
349	197	366
350	197	365
351	198	364
352	198	364
353	199	363
354	199	363
355	200	362
356	200	361
357	201	361
358	201	360
359	202	359
360	202	359
361	203	358
362	203	357
363	204	356
364	204	356
365	205	355
366	205	354
367	206	354
368	206	353
369	207	353
370	207	352
371	208	351
372	208	351
373	209	350
374	209	349
375	210	349
376	211	348
377	212	348
378	212	348
379	213	347
380	213	347
381	214	346
382	214	346
383	215	345
384	215	344
385	216	344
386	216	343
387	217	342
388	217	342
389	218	341
390	218	340
391	219	340
392	219	339
393	220	339
394	221	338
395	221	337
396	222	337
397	222	336
398	223	336
399	223	335
400	224	334
401	224	334
402	225	333
403	225	333
404	226	332
405	227	332
406	227	331
407	228	331
408	228	330
409	229	330
410	230	329
411	230	329
412	231	328
413	231	327
414	232	327
415	232	326
416	233	326
417	233	325
418	234	324
419	234	323
420	235	323
421	235	322
422	236	321
423	236	321
424	237	320
425	237	320
426	237	319
427	238	318
428	238	318
429	239	317
430	239	316
431	240	316
432	241	315
433	242	315
434	242	315
435	243	314
436	243	314
437	244	313
438	244	312
439	245	312
440	245	311
441	246	310
442	246	310
443	247	309
444	247	308
445	248	308
446	248	308
447	249	307
448	249	306
449	250	306
450	250	305
451	251	304
452	251	304
453	252	303
454	252	302
455	253	302
456	253	301
457	254	300
458	254	300
459	255	299
460	256	299
461	256	299
462	257	298
463	258	298
464	258	297
465	259	296
466	259	296
467	260	295
468	260	295
469	261	294
470	261	293
471	262	293
472	262	292
473	263	292
474	263	291
475	264	290
476	264	290
477	265	289
478	265	288
479	266	288
480	266	287
481	267	287
482	267	286
483	268	285
484	268	285
485	269	284
486	269	283
487	270	283
488	270	283
489	271	282
490	272	282
491	272	281
492	273	281
493	273	280
494	274	280
495	275	279
496	275	278
497	276	278
498	276	277
499	277	277
500	277	276
501	278	275
502	278	275
503	279	274
504	279	274
505	280	273
506	280	272
507	281	272
508	281	271
509	282	270
510	282	270
511	282	269
512	283	269
513	283	268
514	284	267
515	284	267
516	285	266
517	286	266
518	287	266
519	287	265
520	288	265
521	288	264
522	289	263
523	289	263
524	290	262
525	291	262
526	291	261
527	292	261
528	292	260
529	293	260
530	293	259
531	294	258
532	294	258
533	295	257
534	295	256
535	296	256
536	296	255
537	297	255
538	297	254
539	297	253
540	298	253
541	298	252
542	299	252
543	299	251
544	300	250
545	301	250
546	301	250
547	302	249
548	303	249
549	303	248
550	304	248
551	305	247
552	305	247
553	306	246
554	307	246
555	307	245
556	308	245
557	308	244
558	309	244
559	309	243
560	310	242
561	310	242
562	311	241
563	311	240
564	312	240
565	312	239
566	313	239
567	313	238
568	314	237
569	314	237
570	315	236
571	315	236
572	316	236
573	317	235
574	317	234
575	318	234
576	319	234
577	319	233
578	320	232
579	320	232
580	321	231
581	321	231
582	322	230
583	322	229
584	323	229
585	323	228
586	324	228
587	324	227
588	325	226
589	325	226
590	326	225
591	326	225
592	327	224
593	327	223
594	328	223
595	328	222
596	329	222
597	329	221
598	330	221
599	330	220
600	331	220
601	332	219
602	333	219
603	333	218
604	334	218
605	334	217
606	335	217
607	335	216
608	336	215
609	336	215
610	337	214
611	337	214
612	338	213
613	338	212
614	339	212
615	339	211
616	340	211
617	340	210
618	341	209
619	341	209
620	342	208
621	342	208
622	343	207
623	343	207
624	344	206
625	344	205
626	345	205
627	345	204
628	347	204
629	347	204
630	348	203
631	348	203
632	349	202
633	349	202
634	350	201
635	350	200
636	351	200
637	351	199
638	352	199
639	353	198
640	353	198
641	354	197
642	354	196
643	354	196
644	355	195
645	355	195
646	356	194
647	356	193
648	357	193
649	357	192
650	358	192
651	358	191
652	359	190
653	359	190
654	360	189
655	361	189
656	362	189
657	362	188
658	363	187
659	363	187
660	364	186
661	365	186
662	365	185
663	366	185
664	366	184
665	367	184
666	367	183
667	368	182
668	368	182
669	369	181
670	369	181
671	370	180
672	370	180
673	371	179
674	371	178
675	372	178
676	372	177
677	372	177
678	373	176
679	373	175
680	374	175
681	375	174
682	375	174
683	376	174
684	377	173
685	377	173
686	378	172
687	379	171
688	379	171
689	380	170
690	380	170
691	381	169
692	381	169
693	382	168
694	382	167
695	383	167
696	383	166
697	384	166
698	384	165
699	385	165
700	385	164
701	386	163
702	386	163
703	387	162
704	387	162
705	388	161
706	388	161
707	389	160
708	389	159
709	390	159
710	390	158
711	391	158
712	392	157
713	392	157
714	393	156
715	394	156
716	394	155
717	395	155
718	395	154
719	396	154
720	396	153
721	397	152
722	397	152
723	398	151
724	398	151
725	399	150
726	399	150
727	400	149
728	400	148
729	401	148
730	401	147
731	402	147
732	402	146
733	403	146
734	403	145
735	404	145
736	404	144
737	405	143
738	406	143
739	407	143
740	407	142
